Statistic Label,Month,Main Reason for Travel,UNIT,VALUE
Number of Overnight Trips by Foreign Visitors,2023 August,Visit to friends/relatives,%,33.8
Number of Overnight Trips by Foreign Visitors,2023 August,Other reason for journey,%,8
Number of Overnight Trips by Foreign Visitors,2023 August,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2023 September,Business,%,16.6
Number of Overnight Trips by Foreign Visitors,2023 September,Holiday/leisure/recreation,%,47.4
Number of Overnight Trips by Foreign Visitors,2023 September,Visit to friends/relatives,%,31.7
Number of Overnight Trips by Foreign Visitors,2023 September,Other reason for journey,%,4.3
Number of Overnight Trips by Foreign Visitors,2023 September,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2023 October,Business,%,15.9
Number of Overnight Trips by Foreign Visitors,2023 October,Holiday/leisure/recreation,%,46.5
Number of Overnight Trips by Foreign Visitors,2023 October,Visit to friends/relatives,%,31.4
Number of Overnight Trips by Foreign Visitors,2023 October,Other reason for journey,%,6.2
Number of Overnight Trips by Foreign Visitors,2023 October,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2023 November,Business,%,18.9
Number of Overnight Trips by Foreign Visitors,2023 November,Holiday/leisure/recreation,%,39.6
Number of Overnight Trips by Foreign Visitors,2023 November,Visit to friends/relatives,%,36.5
Number of Overnight Trips by Foreign Visitors,2023 November,Other reason for journey,%,5
Number of Overnight Trips by Foreign Visitors,2023 November,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2023 December,Business,%,17.5
Number of Overnight Trips by Foreign Visitors,2023 December,Holiday/leisure/recreation,%,32.7
Number of Overnight Trips by Foreign Visitors,2023 December,Visit to friends/relatives,%,40.6
Number of Overnight Trips by Foreign Visitors,2023 December,Other reason for journey,%,9.2
Number of Overnight Trips by Foreign Visitors,2023 December,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2024 January,Business,%,13
Number of Overnight Trips by Foreign Visitors,2024 January,Holiday/leisure/recreation,%,35.3
Number of Overnight Trips by Foreign Visitors,2024 January,Visit to friends/relatives,%,46.8
Number of Overnight Trips by Foreign Visitors,2024 January,Other reason for journey,%,4.9
Number of Overnight Trips by Foreign Visitors,2024 January,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2024 February,Business,%,20.5
Number of Overnight Trips by Foreign Visitors,2024 February,Holiday/leisure/recreation,%,35.4
Number of Overnight Trips by Foreign Visitors,2024 February,Visit to friends/relatives,%,36.5
Number of Overnight Trips by Foreign Visitors,2024 February,Other reason for journey,%,7.6
Number of Overnight Trips by Foreign Visitors,2024 February,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2024 March,Business,%,15.7
Number of Overnight Trips by Foreign Visitors,2024 March,Holiday/leisure/recreation,%,46.7
Number of Overnight Trips by Foreign Visitors,2024 March,Visit to friends/relatives,%,29.4
Number of Overnight Trips by Foreign Visitors,2024 March,Other reason for journey,%,8.3
Number of Overnight Trips by Foreign Visitors,2024 March,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2024 April,Business,%,15.8
Number of Overnight Trips by Foreign Visitors,2024 April,Holiday/leisure/recreation,%,41.6
Number of Overnight Trips by Foreign Visitors,2024 April,Visit to friends/relatives,%,35.9
Number of Overnight Trips by Foreign Visitors,2024 April,Other reason for journey,%,6.7
Number of Overnight Trips by Foreign Visitors,2024 April,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2024 May,Business,%,15.3
Number of Overnight Trips by Foreign Visitors,2024 May,Holiday/leisure/recreation,%,45.1
Number of Overnight Trips by Foreign Visitors,2024 May,Visit to friends/relatives,%,29.2
