Statistic Label,Monthly,Residency,UNIT,VALUE
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 December,"Great Britain (England, Scotland & Wales)",Euro,84
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 December,Other Europe (3),Euro,51
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 December,USA & Canada,Euro,57
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 December,Other Residencies,Euro,43
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 December,All Residencies,Euro,59
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2025 January,"Great Britain (England, Scotland & Wales)",Euro,99
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2025 January,Other Europe (3),Euro,70
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2025 January,USA & Canada,Euro,99
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2025 January,Other Residencies,Euro,84
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2025 January,All Residencies,Euro,88
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 January,"Great Britain (England, Scotland & Wales)",Euro,60
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 January,Other Europe (3),Euro,56
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 January,USA & Canada,Euro,69
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 January,Other Residencies,Euro,57
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 January,All Residencies,Euro,59
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 February,"Great Britain (England, Scotland & Wales)",Euro,78
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 February,Other Europe (3),Euro,74
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 February,USA & Canada,Euro,81
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 February,Other Residencies,Euro,56
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 February,All Residencies,Euro,76
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 March,"Great Britain (England, Scotland & Wales)",Euro,84
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 March,Other Europe (3),Euro,69
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 March,USA & Canada,Euro,88
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 March,Other Residencies,Euro,72
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 March,All Residencies,Euro,79
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 April,"Great Britain (England, Scotland & Wales)",Euro,69.7
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 April,Other Europe (3),Euro,66.9
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 April,USA & Canada,Euro,83.1
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 April,Other Residencies,Euro,72.5
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 April,All Residencies,Euro,71.1
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 May,"Great Britain (England, Scotland & Wales)",Euro,77.9
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 May,Other Europe (3),Euro,65.9
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 May,USA & Canada,Euro,83.1
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 May,Other Residencies,Euro,59.2
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 May,All Residencies,Euro,73.5
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 June,"Great Britain (England, Scotland & Wales)",Euro,79
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 June,Other Europe (3),Euro,63.5
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 June,USA & Canada,Euro,89.2
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 June,Other Residencies,Euro,69.1
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 June,All Residencies,Euro,76.6
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 July,"Great Britain (England, Scotland & Wales)",Euro,71
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 July,Other Europe (3),Euro,60.4
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 July,USA & Canada,Euro,79.2
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 July,Other Residencies,Euro,61.3
