"C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"-","All reasons for journey","20162","2016Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1553"
"-","All reasons for journey","20163","2016Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","3062"
"-","All reasons for journey","20163","2016Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"-","All reasons for journey","20163","2016Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1693"
"-","All reasons for journey","20163","2016Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","2253"
"-","All reasons for journey","20163","2016Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.4"
"-","All reasons for journey","20163","2016Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","2231"
"-","All reasons for journey","20164","2016Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","2139"
"-","All reasons for journey","20164","2016Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"-","All reasons for journey","20164","2016Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","930"
"-","All reasons for journey","20164","2016Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1699"
"-","All reasons for journey","20164","2016Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6"
"-","All reasons for journey","20164","2016Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1385"
"-","All reasons for journey","20171","2017Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","1796"
"-","All reasons for journey","20171","2017Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"-","All reasons for journey","20171","2017Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","684"
"-","All reasons for journey","20171","2017Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1569"
"-","All reasons for journey","20171","2017Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6"
"-","All reasons for journey","20171","2017Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1173"
"-","All reasons for journey","20172","2017Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","2769"
