"C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"2","Visit to friends/relatives","20143","2014Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","643"
"2","Visit to friends/relatives","20143","2014Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.5"
"2","Visit to friends/relatives","20143","2014Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","251"
"2","Visit to friends/relatives","20143","2014Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","440"
"2","Visit to friends/relatives","20143","2014Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.5"
"2","Visit to friends/relatives","20143","2014Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","290"
"2","Visit to friends/relatives","20144","2014Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","527"
"2","Visit to friends/relatives","20144","2014Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"2","Visit to friends/relatives","20144","2014Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","169"
"2","Visit to friends/relatives","20144","2014Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","386"
"2","Visit to friends/relatives","20144","2014Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.2"
"2","Visit to friends/relatives","20144","2014Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","224"
"2","Visit to friends/relatives","20151","2015Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","488"
"2","Visit to friends/relatives","20151","2015Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"2","Visit to friends/relatives","20151","2015Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","151"
"2","Visit to friends/relatives","20151","2015Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","436"
"2","Visit to friends/relatives","20151","2015Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.1"
"2","Visit to friends/relatives","20151","2015Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","266"
"2","Visit to friends/relatives","20152","2015Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","588"
"2","Visit to friends/relatives","20152","2015Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.8"
"2","Visit to friends/relatives","20152","2015Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","198"
"2","Visit to friends/relatives","20152","2015Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","400"
"2","Visit to friends/relatives","20152","2015Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6"
"2","Visit to friends/relatives","20152","2015Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","214"
"2","Visit to friends/relatives","20153","2015Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","640"
"2","Visit to friends/relatives","20153","2015Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.7"
"2","Visit to friends/relatives","20153","2015Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","256"
"2","Visit to friends/relatives","20153","2015Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","419"
"2","Visit to friends/relatives","20153","2015Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.7"
"2","Visit to friends/relatives","20153","2015Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","253"
"2","Visit to friends/relatives","20154","2015Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","582"
"2","Visit to friends/relatives","20154","2015Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"2","Visit to friends/relatives","20154","2015Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","197"
"2","Visit to friends/relatives","20154","2015Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","429"
"2","Visit to friends/relatives","20154","2015Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5.5"
"2","Visit to friends/relatives","20154","2015Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","236"
"2","Visit to friends/relatives","20161","2016Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","555"
"2","Visit to friends/relatives","20161","2016Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"2","Visit to friends/relatives","20161","2016Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","191"
"2","Visit to friends/relatives","20161","2016Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","468"
"2","Visit to friends/relatives","20161","2016Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.2"
"2","Visit to friends/relatives","20161","2016Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","250"
"2","Visit to friends/relatives","20162","2016Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","632"
"2","Visit to friends/relatives","20162","2016Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"2","Visit to friends/relatives","20162","2016Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","199"
"2","Visit to friends/relatives","20162","2016Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","394"
"2","Visit to friends/relatives","20162","2016Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.9"
"2","Visit to friends/relatives","20162","2016Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","190"
"2","Visit to friends/relatives","20163","2016Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","730"
"2","Visit to friends/relatives","20163","2016Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.2"
"2","Visit to friends/relatives","20163","2016Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","270"
"2","Visit to friends/relatives","20163","2016Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","430"
"2","Visit to friends/relatives","20163","2016Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.1"
"2","Visit to friends/relatives","20163","2016Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","244"
"2","Visit to friends/relatives","20164","2016Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","636"
"2","Visit to friends/relatives","20164","2016Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"2","Visit to friends/relatives","20164","2016Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","204"
"2","Visit to friends/relatives","20164","2016Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","459"
"2","Visit to friends/relatives","20164","2016Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5"
"2","Visit to friends/relatives","20164","2016Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","252"
"2","Visit to friends/relatives","20171","2017Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","548"
"2","Visit to friends/relatives","20171","2017Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"2","Visit to friends/relatives","20171","2017Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","185"
"2","Visit to friends/relatives","20171","2017Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","441"
"2","Visit to friends/relatives","20171","2017Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5.6"
"2","Visit to friends/relatives","20171","2017Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","236"
"2","Visit to friends/relatives","20172","2017Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","632"
"2","Visit to friends/relatives","20172","2017Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.8"
"2","Visit to friends/relatives","20172","2017Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","218"
"2","Visit to friends/relatives","20172","2017Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","489"
"2","Visit to friends/relatives","20172","2017Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5.1"
"2","Visit to friends/relatives","20172","2017Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","245"
"2","Visit to friends/relatives","20173","2017Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","719"
"2","Visit to friends/relatives","20173","2017Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.2"
"2","Visit to friends/relatives","20173","2017Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","281"
"2","Visit to friends/relatives","20173","2017Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","455"
"2","Visit to friends/relatives","20173","2017Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.2"
"2","Visit to friends/relatives","20173","2017Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","240"
"2","Visit to friends/relatives","20174","2017Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","667"
"2","Visit to friends/relatives","20174","2017Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"2","Visit to friends/relatives","20174","2017Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","211"
"2","Visit to friends/relatives","20174","2017Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","406"
"2","Visit to friends/relatives","20174","2017Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.5"
"2","Visit to friends/relatives","20174","2017Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","188"
"2","Visit to friends/relatives","20181","2018Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","529"
"2","Visit to friends/relatives","20181","2018Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"2","Visit to friends/relatives","20181","2018Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","181"
"2","Visit to friends/relatives","20181","2018Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","404"
"2","Visit to friends/relatives","20181","2018Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5.6"
"2","Visit to friends/relatives","20181","2018Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","203"
"2","Visit to friends/relatives","20182","2018Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","730"
"2","Visit to friends/relatives","20182","2018Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"2","Visit to friends/relatives","20182","2018Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","240"
"2","Visit to friends/relatives","20182","2018Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","465"
"2","Visit to friends/relatives","20182","2018Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5"
"2","Visit to friends/relatives","20182","2018Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","224"
"2","Visit to friends/relatives","20183","2018Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","766"
"2","Visit to friends/relatives","20183","2018Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"2","Visit to friends/relatives","20183","2018Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","274"
"2","Visit to friends/relatives","20183","2018Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","453"
"2","Visit to friends/relatives","20183","2018Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.9"
"2","Visit to friends/relatives","20183","2018Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","245"
"2","Visit to friends/relatives","20184","2018Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","629"
"2","Visit to friends/relatives","20184","2018Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"2","Visit to friends/relatives","20184","2018Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","186"
"2","Visit to friends/relatives","20184","2018Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","479"
"2","Visit to friends/relatives","20184","2018Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.6"
"2","Visit to friends/relatives","20184","2018Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","219"
"2","Visit to friends/relatives","20191","2019Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","543"
"2","Visit to friends/relatives","20191","2019Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.5"
"2","Visit to friends/relatives","20191","2019Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","178"
"2","Visit to friends/relatives","20191","2019Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","425"
"2","Visit to friends/relatives","20191","2019Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.1"
"2","Visit to friends/relatives","20191","2019Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","231"
"2","Visit to friends/relatives","20192","2019Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","695"
"2","Visit to friends/relatives","20192","2019Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.8"
"2","Visit to friends/relatives","20192","2019Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","223"
"2","Visit to friends/relatives","20192","2019Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","490"
"2","Visit to friends/relatives","20192","2019Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.9"
"2","Visit to friends/relatives","20192","2019Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","251"
"2","Visit to friends/relatives","20193","2019Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","741"
"2","Visit to friends/relatives","20193","2019Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.2"
"2","Visit to friends/relatives","20193","2019Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","295"
"2","Visit to friends/relatives","20193","2019Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","540"
"2","Visit to friends/relatives","20193","2019Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.1"
"2","Visit to friends/relatives","20193","2019Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","320"
"2","Visit to friends/relatives","20194","2019Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","688"
"2","Visit to friends/relatives","20194","2019Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6"
"2","Visit to friends/relatives","20194","2019Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","211"
"2","Visit to friends/relatives","20194","2019Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","477"
"2","Visit to friends/relatives","20194","2019Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5.1"
"2","Visit to friends/relatives","20194","2019Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","253"
"3","Business","20121","2012Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","296"
"3","Business","20121","2012Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4"
"3","Business","20121","2012Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","126"
"3","Business","20121","2012Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","190"
"3","Business","20121","2012Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.4"
"3","Business","20121","2012Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","135"
"3","Business","20122","2012Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","301"
"3","Business","20122","2012Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.4"
"3","Business","20122","2012Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","136"
"3","Business","20122","2012Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","198"
"3","Business","20122","2012Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.8"
"3","Business","20122","2012Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","136"
"3","Business","20123","2012Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","277"
"3","Business","20123","2012Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.7"
"3","Business","20123","2012Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","124"
"3","Business","20123","2012Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","182"
"3","Business","20123","2012Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.1"
"3","Business","20123","2012Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","140"
"3","Business","20124","2012Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","308"
"3","Business","20124","2012Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"3","Business","20124","2012Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","144"
"3","Business","20124","2012Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","225"
"3","Business","20124","2012Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.2"
"3","Business","20124","2012Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","169"
"3","Business","20131","2013Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","291"
"3","Business","20131","2013Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.8"
"3","Business","20131","2013Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","152"
"3","Business","20131","2013Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","187"
"3","Business","20131","2013Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.4"
"3","Business","20131","2013Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","138"
"3","Business","20132","2013Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","328"
"3","Business","20132","2013Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.2"
"3","Business","20132","2013Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","136"
"3","Business","20132","2013Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","185"
"3","Business","20132","2013Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.4"
"3","Business","20132","2013Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","130"
"3","Business","20133","2013Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","284"
"3","Business","20133","2013Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.4"
"3","Business","20133","2013Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","124"
"3","Business","20133","2013Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","205"
"3","Business","20133","2013Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.2"
"3","Business","20133","2013Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","147"
"3","Business","20134","2013Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","339"
"3","Business","20134","2013Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6"
"3","Business","20134","2013Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","168"
"3","Business","20134","2013Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","284"
"3","Business","20134","2013Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.8"
"3","Business","20134","2013Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","186"
"3","Business","20141","2014Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","286"
"3","Business","20141","2014Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.8"
"3","Business","20141","2014Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","120"
"3","Business","20141","2014Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","169"
"3","Business","20141","2014Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.5"
"3","Business","20141","2014Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","121"
"3","Business","20142","2014Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","365"
"3","Business","20142","2014Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.2"
"3","Business","20142","2014Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","179"
"3","Business","20142","2014Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","189"
"3","Business","20142","2014Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.5"
"3","Business","20142","2014Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","172"
"3","Business","20143","2014Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","291"
"3","Business","20143","2014Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"3","Business","20143","2014Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","136"
"3","Business","20143","2014Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","190"
"3","Business","20143","2014Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.8"
"3","Business","20143","2014Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","147"
"3","Business","20144","2014Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","340"
"3","Business","20144","2014Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.1"
"3","Business","20144","2014Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","153"
"3","Business","20144","2014Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","241"
"3","Business","20144","2014Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.4"
"3","Business","20144","2014Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","163"
"3","Business","20151","2015Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","364"
"3","Business","20151","2015Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.8"
"3","Business","20151","2015Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","151"
"3","Business","20151","2015Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","172"
"3","Business","20151","2015Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.7"
"3","Business","20151","2015Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","122"
"3","Business","20152","2015Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","344"
"3","Business","20152","2015Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.5"
"3","Business","20152","2015Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","172"
"3","Business","20152","2015Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","284"
"3","Business","20152","2015Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3"
"3","Business","20152","2015Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","200"
"3","Business","20153","2015Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","332"
"3","Business","20153","2015Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6"
"3","Business","20153","2015Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","163"
"3","Business","20153","2015Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","202"
"3","Business","20153","2015Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5.5"
"3","Business","20153","2015Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","175"
"3","Business","20154","2015Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","400"
"3","Business","20154","2015Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.1"
"3","Business","20154","2015Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","189"
"3","Business","20154","2015Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","232"
"3","Business","20154","2015Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.1"
"3","Business","20154","2015Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","153"
"3","Business","20161","2016Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","364"
"3","Business","20161","2016Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.3"
"3","Business","20161","2016Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","148"
"3","Business","20161","2016Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","188"
"3","Business","20161","2016Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.2"
"3","Business","20161","2016Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","125"
"3","Business","20162","2016Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","434"
"3","Business","20162","2016Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.2"
"3","Business","20162","2016Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","198"
"3","Business","20162","2016Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","236"
